Index	Kernel	sm__throughput.avg.pct_of_peak_sustained_elapsed	gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed	l1tex__throughput.avg.pct_of_peak_sustained_active	lts__throughput.avg.pct_of_peak_sustained_elapsed	gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed	sm__issue_active.avg.pct_of_peak_sustained_elapsed	sm__inst_executed.avg.pct_of_peak_sustained_elapsed	sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed	sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_fp16.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed	sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed	gpc__cycles_elapsed.max
184	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1.66	5.52	5.11	4.19	5.52	1.61	1.56	0.58	1.22	0.39	0.19	0.29	0.0	0.78	0.0	0.0	0.0	3295.0
185	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1.65	5.52	4.81	4.19	5.52	1.6	1.55	0.58	1.21	0.39	0.19	0.29	0.0	0.78	0.0	0.0	0.0	3296.0
186	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1.53	5.08	5.11	3.88	5.08	1.48	1.44	0.54	1.12	0.36	0.18	0.27	0.0	0.72	0.0	0.0	0.0	3567.0
187	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1.49	4.88	5.14	3.75	4.88	1.44	1.4	0.52	1.09	0.35	0.17	0.26	0.0	0.7	0.0	0.0	0.0	3672.0
188	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)	0.49	6.07	9.32	3.52	6.07	0.45	0.42	0.14	0.49	0.27	0.11	0.27	0.0	0.0	0.0	0.0	0.0	2959.0
189	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.35	9.08	6.12	5.21	9.08	2.23	2.19	0.24	2.35	0.73	0.16	0.41	0.0	1.3	0.0	0.0	0.0	3959.0
190	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.3	9.03	5.89	5.13	9.03	2.19	2.15	0.24	2.3	0.72	0.16	0.4	0.0	1.27	0.0	0.0	0.0	4031.0
191	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.3	8.92	6.24	5.12	8.92	2.18	2.14	0.24	2.3	0.71	0.16	0.4	0.0	1.27	0.0	0.0	0.0	4036.0
192	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.46	9.53	6.16	5.48	9.53	2.33	2.29	0.25	2.46	0.76	0.17	0.42	0.0	1.36	0.0	0.0	0.0	3772.0
193	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.06	7.95	5.88	4.58	7.95	1.95	1.92	0.21	2.06	0.64	0.14	0.35	0.0	1.14	0.0	0.0	0.0	4516.0
194	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.49	9.59	6.07	5.54	9.59	2.36	2.32	0.26	2.49	0.77	0.17	0.43	0.0	1.37	0.0	0.0	0.0	3731.0
195	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.36	9.15	5.87	5.25	9.15	2.24	2.2	0.24	2.36	0.73	0.16	0.41	0.0	1.3	0.0	0.0	0.0	3932.0
